,_frac_optflow_ok,_frac_optflow_ok_ica,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:11:12.380,,,8248.984073016518,2917.6292836310004,4.29,1.5
2015-09-16 07:11:16.410,,,7621.019674501106,2696.703564398907,4.29,1.5
2015-09-16 07:11:20.340,,,8052.395633779118,2848.16461867714,4.29,1.5
2015-09-16 07:11:24.360,,,8306.126395764186,2936.8214632032254,4.29,1.5
2015-09-16 07:11:28.390,,,8729.11048975003,3085.3976788330137,4.29,1.5
2015-09-16 07:11:32.410,,,8758.865732045311,3095.788134736693,4.29,1.5
2015-09-16 07:11:36.350,,,9325.065402780137,3293.8098339425655,4.29,1.5
2015-09-16 07:11:40.370,,,9563.683421654774,3377.295780276907,4.29,1.5
2015-09-16 07:11:45.900,,,9664.754486172007,3412.6620973427366,4.29,1.5
2015-09-16 07:11:49.750,,,9209.525911598965,3253.3811434957383,4.29,1.5
2015-09-16 07:11:53.600,,,9471.685699106245,3345.097856723759,4.29,1.5
2015-09-16 07:11:57.460,,,9121.98214516956,3222.7675026326583,4.29,1.5
2015-09-16 07:12:01.390,,,8862.328286968244,3131.9591238163694,4.29,1.5
2015-09-16 07:12:05.330,,,8751.440418586713,3093.1892395809514,4.29,1.5
2015-09-16 07:12:09.350,,,8350.663166546548,2952.9241536478658,4.29,1.5
2015-09-16 07:12:13.370,,,7930.789939130576,2806.2395586609246,4.29,1.5
2015-09-16 07:12:17.400,,,8301.904709472397,2936.073150028892,4.29,1.5
2015-09-16 07:12:21.330,,,8276.41113846456,2926.968892854359,4.29,1.5
2015-09-16 07:12:27.370,,,8550.69310274745,3023.000093085901,4.29,1.5
2015-09-16 07:12:31.390,,,8250.089698385777,2917.94666863445,4.29,1.5
2015-09-16 07:12:35.320,,,8172.779954825412,2890.9385620320586,4.29,1.5
2015-09-16 07:12:39.340,,,8030.621113486036,2841.2843854634643,4.29,1.5
2015-09-16 07:12:43.370,,,8258.77765704464,2920.985486830726,4.29,1.5
2015-09-16 07:12:47.390,,,8414.994096264101,2975.580111093898,4.29,1.5
2015-09-16 07:12:51.320,,,8574.23939064612,3031.241374135518,4.29,1.5
2015-09-16 07:12:55.350,,,8625.633485137116,3049.2090069067826,4.29,1.5
2015-09-16 07:12:59.370,,,8530.212667074364,3015.8592908255264,4.29,1.5
2015-09-16 07:13:03.390,,,8857.577934901914,3130.3124319888843,4.29,1.5
2015-09-16 07:13:09.000,,,8929.862451798406,3155.601684470238,4.29,1.5
2015-09-16 07:13:12.860,,,8790.383639688924,3106.840599197811,4.29,1.5
2015-09-16 07:13:16.790,,,8306.571164107389,2937.550278913707,4.29,1.5
2015-09-16 07:13:20.810,,,8496.955353372197,3003.721566984237,4.29,1.5
2015-09-16 07:13:24.670,,,8581.112286119487,3033.3285563752224,4.29,1.5
2015-09-16 07:13:28.610,,,8581.711933582896,3032.994991340927,4.29,1.5
2015-09-16 07:13:32.460,,,8626.835879194266,3048.9530921185783,4.29,1.5
2015-09-16 07:13:36.400,,,8145.7812092164795,2879.308204168478,4.29,1.5
2015-09-16 07:13:40.340,,,8366.916776538945,2958.087952728095,4.29,1.5
2015-09-16 07:13:44.360,,,7885.574234168666,2789.498754173848,4.29,1.5
2015-09-16 07:13:49.970,,,7892.065365302241,2791.5678490254377,4.29,1.5
2015-09-16 07:13:54.330,,,8462.90974463114,2992.183374862756,4.29,1.5
2015-09-16 07:13:58.350,,,8120.544911101174,2872.3562678951726,4.29,1.5
2015-09-16 07:14:02.370,,,7985.080636360064,2824.448255311028,4.29,1.5
2015-09-16 07:14:06.390,,,7909.424238977069,2798.020577579859,4.29,1.5
2015-09-16 07:14:10.580,,,7612.576535295791,2693.7427234105076,4.29,1.5
2015-09-16 07:14:14.430,,,7447.681634086625,2637.6128721874375,4.29,1.5
2015-09-16 07:14:18.370,,,7335.443637356764,2598.0249353343406,4.29,1.5
2015-09-16 07:14:22.390,,,6843.05024311481,2424.7605004548527,4.29,1.5
2015-09-16 07:14:26.330,,,6861.294249510053,2432.6842601305784,4.29,1.5
2015-09-16 07:14:32.440,,,6191.4843976286475,2198.951079423987,4.29,1.5
2015-09-16 07:14:36.380,,,6037.442330465378,2144.8589658342603,4.29,1.5
2015-09-16 07:14:40.400,,,5595.424409676724,1991.231136588872,4.29,1.5
2015-09-16 07:14:44.340,,,5692.021147200917,2022.716166997079,4.29,1.5
2015-09-16 07:14:48.360,,,6101.948109174985,2167.3264182976613,4.29,1.5
2015-09-16 07:14:52.380,,,6003.475640462113,2132.0723512492514,4.29,1.5
2015-09-16 07:14:56.320,,,5553.295569875127,1973.7271631371943,4.29,1.5
2015-09-16 07:15:00.340,,,5350.380356464856,1905.651576793438,4.29,1.5
2015-09-16 07:15:04.360,,,5120.69756417819,1824.5642552370957,4.29,1.5
2015-09-16 07:15:08.380,,,5387.144366807299,1918.135353508473,4.29,1.5
2015-09-16 07:15:14.330,,,5381.751075839146,1913.584297027944,4.29,1.5
2015-09-16 07:15:18.350,,,5258.114471800712,1870.0928100722413,4.29,1.5
2015-09-16 07:15:22.380,,,5816.693615452717,2064.639867534641,4.29,1.5
2015-09-16 07:15:26.400,,,5974.625643575501,2121.0631770510795,4.29,1.5
2015-09-16 07:15:30.330,,,6006.479038245799,2129.804185876463,4.29,1.5
2015-09-16 07:15:34.360,,,6362.883167082788,2255.8370696742827,4.29,1.5
2015-09-16 07:15:38.380,,,7174.079452415368,2539.8849956317736,4.29,1.5
2015-09-16 07:15:42.400,,,7917.198071128814,2800.7753671482155,4.29,1.5
2015-09-16 07:15:46.340,,,7618.208664109462,2696.3432979649283,4.29,1.5
2015-09-16 07:15:50.360,,,7985.04288232531,2825.045899589901,4.29,1.5
2015-09-16 07:15:55.970,,,8282.67581085901,2927.3633288682167,4.29,1.5
2015-09-16 07:15:59.740,,,8844.461340638598,3124.1969325526866,4.29,1.5
2015-09-16 07:16:03.510,,,9145.95355292452,3230.0238218351715,4.29,1.5
2015-09-16 07:16:07.450,,,8797.786623417262,3108.0422715185755,4.29,1.5
2015-09-16 07:16:11.380,,,9481.735540977077,3348.1933274559674,4.29,1.5
2015-09-16 07:16:15.410,,,8661.402153723055,3060.515549043842,4.29,1.5
2015-09-16 07:16:19.340,,,8657.025554800595,3059.1637315633393,4.29,1.5
2015-09-16 07:16:23.370,,,8547.400335795053,3019.9442844478162,4.29,1.5
2015-09-16 07:16:27.390,,,8698.804859697591,3074.307936395324,4.29,1.5
2015-09-16 07:16:31.410,,,8294.325473666437,2931.8035456887283,4.29,1.5
2015-09-16 07:16:37.440,,,8329.564544831757,2943.3961529482463,4.29,1.5
2015-09-16 07:16:41.380,,,8737.116323173479,3087.6824016833443,4.29,1.5
2015-09-16 07:16:45.400,,,8953.89010581081,3162.795021135292,4.29,1.5
2015-09-16 07:16:49.340,,,8898.082064828404,3144.1348368917425,4.29,1.5
2015-09-16 07:16:53.360,,,8713.317555856584,3079.7005507826457,4.29,1.5
2015-09-16 07:16:57.380,,,9108.981600764886,3218.068117418231,4.29,1.5
2015-09-16 07:17:01.400,,,9286.376874975596,3280.2903433201454,4.29,1.5
2015-09-16 07:17:05.340,,,9202.013969666934,3250.7753975087085,4.29,1.5
2015-09-16 07:17:09.360,,,8867.305008669719,3133.7097929750516,4.29,1.5
2015-09-16 07:17:13.380,,,9181.358774394068,3243.5436625165876,4.29,1.5
2015-09-16 07:17:19.580,,,8694.874708861038,3073.409812308209,4.29,1.5
2015-09-16 07:17:23.520,,,8442.004393987581,2985.0129227141056,4.29,1.5
2015-09-16 07:17:27.370,,,8929.742051510944,3155.529720056877,4.29,1.5
2015-09-16 07:17:31.480,,,9005.682877658028,3182.083435667624,4.29,1.5
2015-09-16 07:17:35.500,,,8903.556718011238,3146.3669277144418,4.29,1.5
2015-09-16 07:17:39.430,,,8602.211113979141,3041.0062701011097,4.29,1.5
2015-09-16 07:17:43.370,,,8445.366140967126,2986.188890863955,4.29,1.5
2015-09-16 07:17:47.480,,,8723.596771014161,3083.4468352787953,4.29,1.5
2015-09-16 07:17:51.580,,,7773.198596733664,2751.388822901926,4.29,1.5
2015-09-16 07:17:55.600,,,8170.088330292968,2889.9989825456405,4.29,1.5
2015-09-16 07:18:01.720,,,7856.577171578236,2780.509087702686,4.29,1.5
2015-09-16 07:18:05.660,,,7800.165731779894,2760.8189108384595,4.29,1.5
2015-09-16 07:18:09.680,,,7790.802663975165,2757.556570632729,4.29,1.5
2015-09-16 07:18:13.620,,,7864.92603074092,2783.446456961149,4.29,1.5
2015-09-16 07:18:17.720,,,7460.517536843365,2642.290983433966,4.29,1.5
2015-09-16 07:18:21.740,,,6673.182581961897,2367.8170426480992,4.29,1.5
2015-09-16 07:18:25.760,,,6368.1411802083285,2261.3798549172243,4.29,1.5
2015-09-16 07:18:29.700,,,6414.500714414689,2277.7637186396096,4.29,1.5
2015-09-16 07:18:33.640,,,6136.656425972299,2179.847109389405,4.29,1.5
2015-09-16 07:18:37.490,,,6236.726741062334,2215.4121681458073,4.29,1.5
2015-09-16 07:18:43.360,,,6159.171481857511,2187.682292056476,4.29,1.5
2015-09-16 07:18:47.380,,,5860.301141910537,2083.7671157306336,4.29,1.5
2015-09-16 07:18:51.400,,,5762.67390461557,2050.1196818158596,4.29,1.5
2015-09-16 07:18:55.340,,,5329.301897268504,1896.647996742459,4.29,1.5
2015-09-16 07:18:59.360,,,5222.69881557465,1859.6464897923915,4.29,1.5
2015-09-16 07:19:03.380,,,5218.185183539565,1858.3607550409254,4.29,1.5
2015-09-16 07:19:07.400,,,5221.129260963343,1857.7491832419898,4.29,1.5
