,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_del_t,_pyrlevel,_significance,_fit_success
2015-09-16 07:06:42.370,-60.57282261207095,9.516788904652552,0.8509113582902872,0.20274783034077273,12.4,1,0.9830691642651297,1
2015-09-16 07:06:54.770,-58.49632151862586,12.625462268833589,0.5961098495479635,0.20603726704493247,3.85,1,0.5613970588235294,1
2015-09-16 07:06:58.620,-64.8556998518794,13.538458788231932,0.6104318730499358,0.23739605277567774,3.86,1,0.5322697606961566,1
2015-09-16 07:07:02.480,-60.18140422679922,24.168656753999596,0.6629853086546,0.28662392150993043,3.85,1,0.5533769063180828,1
2015-09-16 07:07:06.330,-64.77856052469656,15.481773872089944,0.6659679922723799,0.23058942236464822,4.02,1,0.7818717759764185,1
2015-09-16 07:07:10.350,-62.297416458240775,17.34003447287071,0.7348104347000084,0.2861041101297071,4.02,1,0.7872980082675686,1
2015-09-16 07:07:14.370,-61.479234767252066,20.559162153211613,0.6575739478074587,0.21419085333389826,4.03,1,0.8287566742944318,1
2015-09-16 07:07:18.400,-60.80378511438009,18.225209655622717,0.6746721298543826,0.21056119668690781,3.93,1,0.8792834890965732,1
2015-09-16 07:07:22.330,-59.95483406342202,19.83101875864784,0.782949658487225,0.22903785927965722,4.02,1,0.9115488605639243,1
2015-09-16 07:07:26.350,-54.84605933272011,13.637691989912046,0.8420650787112848,0.21700115096308212,4.03,1,0.9331318473743861,1
2015-09-16 07:07:30.380,,180.0,,,5.94,1,0.0,1
2015-09-16 07:07:36.320,-62.047401944595826,14.13895002616244,0.8561368440400697,0.32762605802182193,4.03,1,0.8768606224627875,1
2015-09-16 07:07:40.350,-48.61815819453058,19.326470786765917,0.8916361449935292,0.3498993459636494,4.02,1,0.8704297626683771,1
2015-09-16 07:07:44.370,-57.43408781356046,14.00282574714317,0.8952810387673544,0.3391711967757465,4.02,1,0.932896379525593,1
2015-09-16 07:07:48.390,-50.48744488244926,20.441871943151355,0.9082450177796029,0.27458505483246315,3.94,1,0.8991024450634478,1
2015-09-16 07:07:52.330,-54.64802208689466,18.492438025641547,0.7334706042955953,0.30315188365540313,4.02,1,0.802937576499388,1
