,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:06:42.370,12.4,-57.8008977783,9.12983495796,1.12848920207,0.142503390389,0.711222301644
2015-09-16 07:06:54.770,3.85,-77.8157103415,19.3392659776,0.916121470464,0.25866921846,0.412216532553
2015-09-16 07:06:58.620,3.86,-57.0509799731,11.6383180222,0.832504064926,0.245790932463,0.475254730713
2015-09-16 07:07:02.480,3.85,-51.9834836303,13.4451329342,0.807396591484,0.306134347792,0.27970749543
2015-09-16 07:07:06.330,4.02,-69.4908686629,17.4634801616,0.692708219462,0.19170377978,0.442350332594
2015-09-16 07:07:10.350,4.02,-58.6578744644,16.5338938456,0.781641492796,0.187991700362,0.515636918383
2015-09-16 07:07:14.370,4.03,-61.3587097052,15.2923594576,0.797810093049,0.21437788128,0.663555036951
2015-09-16 07:07:18.400,3.93,-63.5786951796,9.17429942567,0.792590170416,0.133653512135,0.433814916048
2015-09-16 07:07:22.330,4.02,-58.05033441,15.7736715824,0.832525711154,0.195873643628,0.666924564797
2015-09-16 07:07:26.350,4.03,-55.2467360832,12.6755456447,0.981707845077,0.176748833053,0.681405895692
2015-09-16 07:07:30.380,5.94,-54.8515306338,12.6883223726,0.9860257107,0.199246025246,0.728446771379
2015-09-16 07:07:36.320,4.03,-61.2416668065,14.200163351,0.942329023375,0.340466168027,0.528963919232
2015-09-16 07:07:40.350,4.02,-47.0701263244,17.9721027091,1.03910562411,0.275696925263,0.565901226801
2015-09-16 07:07:44.370,4.02,-51.4271317324,18.3865464043,0.934145699686,0.261853672379,0.673602484472
2015-09-16 07:07:48.390,3.94,-53.6282224612,16.6191260115,0.878460153105,0.28736821286,0.571121351767
2015-09-16 07:07:52.330,4.02,-55.1419100617,18.8047891287,0.832708498732,0.230663406908,0.549085365854
2015-09-16 07:07:56.350,4.02,-48.8255147565,16.3232709308,0.843803562335,0.308754402607,0.545867393279
2015-09-16 07:08:00.370,4.02,-65.868866363,10.4673778915,0.860761291352,0.290967902141,0.222924187726
2015-09-16 07:08:04.390,3.94,-53.0572856903,14.846639525,0.846366289303,0.226170006137,0.533173221255
2015-09-16 07:08:08.330,4.02,-66.1303517238,15.0944481543,0.802157174295,0.240565547303,0.396473092125
2015-09-16 07:08:12.350,5.61,-58.574710983,20.6221433808,0.811838551214,0.192055281471,0.746412975671
2015-09-16 07:08:17.960,3.85,-57.2625789237,11.23567459,0.834420625266,0.262586358306,0.475415282392
2015-09-16 07:08:21.810,3.94,-62.1879967941,18.8099247436,0.739001138561,0.197868752601,0.479889996562
2015-09-16 07:08:25.750,3.86,-67.0792235385,11.5475739417,0.837847297056,0.189452220739,0.401413427562
2015-09-16 07:08:29.610,3.93,-64.6980969057,15.8668623935,0.688656110497,0.167223864233,0.432937792161
2015-09-16 07:08:33.540,3.94,-56.6021997163,18.020925584,0.689198220442,0.205523032827,0.409963099631
2015-09-16 07:08:37.480,3.85,-56.8675508156,15.5678990684,0.740376509629,0.200436347491,0.555076440612
2015-09-16 07:08:41.330,4.03,-57.3481817015,15.1424177828,0.758707257122,0.184891729733,0.530320587099
2015-09-16 07:08:45.360,4.02,-51.6467787944,17.2965251723,0.718376707675,0.198936121381,0.578285714286
2015-09-16 07:08:49.380,3.93,-63.6084941557,8.30432594336,0.837338911061,0.221173605543,0.465952563122
2015-09-16 07:08:53.310,6.04,-66.0350297628,12.1758803224,0.913696415377,0.169192284148,0.568814334731
2015-09-16 07:08:59.350,4.02,-66.8228946631,6.89020757778,0.922023182485,0.20338163447,0.364503816794
2015-09-16 07:09:03.370,4.02,-64.441068002,12.5613487809,0.914491764942,0.207203018725,0.549654419789
2015-09-16 07:09:07.390,3.94,-47.7892481146,19.060471488,0.906741256036,0.23077151497,0.556989247312
2015-09-16 07:09:11.330,4.02,-43.9411497076,17.0593269395,0.923499420508,0.235056654731,0.454814814815
2015-09-16 07:09:15.350,4.02,-53.1136641698,4.90741357548,0.909652401559,0.188542761613,0.306908267271
2015-09-16 07:09:19.370,4.02,-62.0557980483,10.7687739136,0.824025080572,0.241710608871,0.433461538462
2015-09-16 07:09:23.390,3.94,-59.1512884329,9.51848168386,0.889568643522,0.198094282053,0.516279069767
2015-09-16 07:09:27.330,4.02,-54.5760841393,11.8138856712,0.859630167188,0.258923822374,0.475638051044
2015-09-16 07:09:31.350,4.02,-58.4268758588,17.6692368062,0.836278431451,0.21149833404,0.557684936757
2015-09-16 07:09:35.370,5.61,-61.0287303911,17.6070515675,0.897400731921,0.165415862027,0.739598811293
