,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:08:04.390,3.94,-89.9961513484,18.2963162556,1.32935252892,0.378823189566,0.54759624593
2015-09-16 07:08:08.330,4.02,-89.5943564626,13.6758276757,1.20655719321,0.351956442221,0.427211424038
2015-09-16 07:08:12.350,5.61,-88.4775767419,19.8764081414,1.50911497772,0.418086910418,0.785189846864
2015-09-16 07:08:17.960,3.85,-96.3120092976,22.9296181688,1.09090458263,0.36006602374,0.368887927304
2015-09-16 07:08:21.810,3.94,-90.9047754709,12.0581187014,1.36699277132,0.351790153436,0.40008716496
2015-09-16 07:08:25.750,3.86,-87.3045901064,12.0652688078,1.34397133644,0.43369154856,0.245808839538
2015-09-16 07:08:29.610,3.93,-90.2112936929,22.678574166,1.17107384077,0.405503259664,0.377568867512
2015-09-16 07:08:33.540,3.94,-82.1777848094,30.9919877343,1.12274697589,0.326257036422,0.488185465894
2015-09-16 07:08:37.480,3.85,-96.4828581901,14.2299337089,1.25375252265,0.349089108504,0.426354793886
2015-09-16 07:08:41.330,4.03,-103.735735055,22.5897925942,1.1579108889,0.344533867043,0.480879322189
2015-09-16 07:08:45.360,4.02,-89.536888849,14.2541319488,1.22015998138,0.338715374173,0.337385321101
2015-09-16 07:08:49.380,3.93,-88.4151319399,21.9487918806,1.44695544061,0.396448328295,0.537239089184
2015-09-16 07:08:53.310,6.04,-87.5582819092,12.0585214585,1.37596509315,0.242533312728,0.74569879802
2015-09-16 07:08:59.350,4.02,-91.0670923765,13.3842096155,1.0152074235,0.363030599717,0.484192607004
2015-09-16 07:09:03.370,4.02,-79.8285485677,20.3559085888,1.07456261839,0.36682412399,0.386092876246
2015-09-16 07:09:07.390,3.94,-92.235609998,13.69187882,1.13177928828,0.360302604395,0.226558664703
2015-09-16 07:09:11.330,4.02,-107.793302191,26.6666680642,1.06457762457,0.356360217232,0.358015457492
2015-09-16 07:09:15.350,4.02,-93.8225294276,18.400260647,1.157942696,0.29180465053,0.400556680162
2015-09-16 07:09:19.370,4.02,-90.7603629677,13.8968199228,1.49918183758,0.610434415922,0.54132231405
2015-09-16 07:09:23.390,3.94,-94.0760575012,23.1479229526,1.33945288392,0.443565966514,0.325908858167
2015-09-16 07:09:27.330,4.02,-92.9481581273,19.7313883265,1.00124665161,0.387822454842,0.314704421262
2015-09-16 07:09:31.350,4.02,-92.3898298522,16.5751316808,1.09557951268,0.418047080586,0.478600141878
2015-09-16 07:09:35.370,5.61,-88.7145222155,14.8626997952,1.38713697274,0.315783601819,0.799684897592
2015-09-16 07:09:40.980,3.94,-97.7954913106,13.354522334,1.09481872036,0.326019011173,0.419403959104
2015-09-16 07:09:44.920,3.85,-91.5896597459,20.7417143106,1.17498261588,0.409996107027,0.618224498506
2015-09-16 07:09:48.770,3.86,-99.0132944865,12.4195754054,1.10319117808,0.375049843072,0.387452310301
2015-09-16 07:09:52.630,3.85,-95.3639952975,23.5647880309,1.15206520279,0.341253001969,0.612100407638
2015-09-16 07:09:56.480,3.86,-97.7750319759,14.3920882392,1.024769069,0.304347338454,0.502381983543
2015-09-16 07:10:00.340,4.02,-94.266455213,11.1210843721,1.20939034135,0.401081641515,0.521964942653
2015-09-16 07:10:04.360,4.02,-95.2274774827,12.3696813281,1.08514567513,0.286864997143,0.628210616438
2015-09-16 07:10:08.380,4.02,-93.624966866,10.8180408041,1.32870128499,0.329561346206,0.622968349016
2015-09-16 07:10:12.400,3.94,-91.5162558442,20.4900425739,1.06093302596,0.301078975503,0.724721508141
