,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:54.770,2813.68473463,1209.08744725,4.80719524499,2.88431714699
2015-09-16 07:06:58.620,997.338178792,524.473761782,2.23731461709,1.34238877025
2015-09-16 07:07:02.480,1517.38021309,676.316531414,2.75807180171,1.65484308102
2015-09-16 07:07:06.330,1584.72704405,684.397376984,2.8035746788,1.68214480728
2015-09-16 07:07:10.350,1215.29885862,543.641414412,2.30936294527,1.38561776716
2015-09-16 07:07:14.370,1319.36070606,577.422994298,2.38335545567,1.4300132734
2015-09-16 07:07:18.400,1650.06575709,711.849537792,2.75547854256,1.65328712554
2015-09-16 07:07:22.330,1772.75299266,761.962886298,2.88241731364,1.72945038818
2015-09-16 07:07:26.350,2344.80336542,951.149267576,3.53475729339,2.12085437603
2015-09-16 07:07:30.380,2649.47094368,1015.29620305,3.83008707588,2.29805224553
2015-09-16 07:07:36.320,1447.99615547,687.374330987,2.63738554304,1.58243132582
2015-09-16 07:07:40.350,1242.87460864,533.241161087,2.15588576373,1.29353145824
2015-09-16 07:07:44.370,1483.71581949,694.652611438,2.758532871,1.6551197226
2015-09-16 07:07:48.390,1930.79865958,816.071031284,3.27747420544,1.96648452327
2015-09-16 07:07:52.330,1810.88199342,739.904660426,2.98267939597,1.78960763758
2015-09-16 07:07:56.350,2084.70654502,901.734864059,3.8621663778,2.31729982668
2015-09-16 07:08:00.370,1965.24467936,852.658093603,3.34428905302,2.00657343181
2015-09-16 07:08:04.390,2071.85946892,885.623441186,3.4876058036,2.09256348216
2015-09-16 07:08:08.330,2337.20739643,919.463340046,3.62593249995,2.17555949997
2015-09-16 07:08:12.350,2584.8410812,982.581075273,3.60669749456,2.16401849673
2015-09-16 07:08:17.960,2418.91485692,930.319057269,3.58821034312,2.15292620587
2015-09-16 07:08:21.810,2638.50829951,1037.63871297,3.81858076404,2.29114845842
2015-09-16 07:08:25.750,2787.73416831,1053.1984654,3.7608254407,2.25649526442
2015-09-16 07:08:29.610,2434.96528624,849.601712073,2.94364607861,1.76618764716
2015-09-16 07:08:33.540,1988.50530211,744.301610189,2.54197110302,1.52518266181
2015-09-16 07:08:37.480,2165.88107434,859.274773579,3.02171815668,1.81303089401
2015-09-16 07:08:41.330,1940.0976834,758.104819713,2.5986456925,1.5591874155
2015-09-16 07:08:45.360,1828.1708093,671.925475206,2.31099182799,1.38659509679
2015-09-16 07:08:49.380,2356.9026147,1126.13955395,3.88421103296,2.33052661977
2015-09-16 07:08:53.310,2131.30272495,989.833867006,3.41070913539,2.04642548124
2015-09-16 07:08:59.350,1589.00860649,854.581240812,3.0518474384,1.83110846304
2015-09-16 07:09:03.370,1675.23729117,823.741361859,3.11649138711,1.86989483227
2015-09-16 07:09:07.390,1673.34102395,825.794600262,3.06932153181,1.84159291908
2015-09-16 07:09:11.330,1542.05620017,717.014870234,2.707202008,1.6243212048
2015-09-16 07:09:15.350,1377.11833252,756.128298736,2.84078478829,1.70447087298
2015-09-16 07:09:19.370,1279.75393885,667.269149538,2.49919838219,1.49951902931
2015-09-16 07:09:23.390,1434.10233689,698.223157972,2.72769498489,1.63661699093
2015-09-16 07:09:27.330,1631.09971907,736.273986697,2.74979674099,1.64987804459
2015-09-16 07:09:31.350,1454.53180749,665.602638799,2.6158957364,1.56953744184
2015-09-16 07:09:35.370,1991.54220811,855.970160197,3.4283447627,2.05700685762
2015-09-16 07:09:40.980,2466.21099152,996.601231534,3.94119690826,2.36471814496
2015-09-16 07:09:44.920,1576.66653459,748.849494072,3.00554709371,1.80332825623
2015-09-16 07:09:48.770,1159.15201692,532.997936691,2.17541140457,1.30524684274
