,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:15:04.360,4.02,-92.888336787,11.1298423999,1.13309912927,0.362502180575,0.434379671151
2015-09-16 07:15:08.380,5.95,-89.0673950588,8.11094242624,1.23461744248,0.209479676285,0.642406015038
2015-09-16 07:15:14.330,4.02,-90.0158759106,18.1697039355,1.35268271692,0.377184778121,0.604402323448
2015-09-16 07:15:18.350,4.03,-89.9369000468,12.481140541,1.1505240749,0.353350681241,0.442563482467
2015-09-16 07:15:22.380,4.02,-91.5141849085,11.9625771141,1.38465282284,0.388929117358,0.278450363196
2015-09-16 07:15:26.400,3.93,-78.9796684936,12.5034240651,1.3604731208,0.44945129478,0.273189706762
2015-09-16 07:15:30.330,4.03,-92.5000014508,9.72963239189,1.38568994648,0.385941777213,0.510174418605
2015-09-16 07:15:34.360,4.02,-92.2825382063,13.61441072,1.19162646795,0.34271059499,0.607930828861
2015-09-16 07:15:38.380,4.02,-92.7474878449,9.52728673126,1.45896959797,0.413315962891,0.453872261648
2015-09-16 07:15:42.400,3.94,-90.2633383105,9.22650717317,1.45472343603,0.36696784923,0.297281323877
2015-09-16 07:15:46.340,4.02,-94.0383087764,9.98933587807,1.35457167942,0.370333115874,0.349897089091
2015-09-16 07:15:50.360,5.61,-87.2590167077,10.0583470393,1.32102545543,0.276706144124,0.654619644419
2015-09-16 07:15:55.970,3.77,-94.9870909642,14.33152482,1.58579529864,0.398503365865,0.519742369084
2015-09-16 07:15:59.740,3.77,-93.7437400889,8.90295150872,1.22565976849,0.362747503496,0.288794250732
2015-09-16 07:16:03.510,3.94,-94.5807144232,12.9727511485,1.29856488663,0.3545309726,0.515704697987
2015-09-16 07:16:07.450,3.93,-90.305155732,12.017946736,1.27091200448,0.36861677341,0.427540106952
2015-09-16 07:16:11.380,4.03,-91.4533824646,10.6584338108,1.2382062895,0.40663226216,0.35261429654
2015-09-16 07:16:15.410,3.93,-95.5562192228,12.2930600099,1.04007812578,0.409067581672,0.443142144638
2015-09-16 07:16:19.340,4.03,-91.1912427326,13.3245973335,1.36783259974,0.311415535567,0.608052389037
2015-09-16 07:16:23.370,4.02,-93.319336134,13.0672310782,1.20666023858,0.290964832816,0.425102133454
2015-09-16 07:16:27.390,4.02,-89.2290864006,11.4318603681,1.29734079497,0.392232854824,0.515434782609
2015-09-16 07:16:31.410,6.03,-86.3503682993,6.23753730356,1.33413232623,0.23400065299,0.598115183246
2015-09-16 07:16:37.440,3.94,-93.3663234635,10.9887727563,1.38187775075,0.388468921479,0.367841858569
2015-09-16 07:16:41.380,4.02,-86.9885214549,13.8121103977,1.17582901537,0.357042662009,0.426129666012
2015-09-16 07:16:45.400,3.94,-92.6500556645,16.7689984442,1.10091168304,0.33680666709,0.4506245121
2015-09-16 07:16:49.340,4.02,-90.0478930186,16.6848998893,1.31852301098,0.370625714822,0.593645812904
2015-09-16 07:16:53.360,4.02,-92.9498732451,12.5673862254,1.16572847811,0.277086883822,0.379078505043
2015-09-16 07:16:57.380,4.02,-98.7515185905,16.7729484985,1.20767132082,0.337082697415,0.55164410058
2015-09-16 07:17:01.400,3.94,-94.0156162938,16.1074818868,1.24865256845,0.303390134606,0.494180499905
2015-09-16 07:17:05.340,4.02,-94.9799356825,20.0148521908,1.11488728418,0.314062755352,0.486372360845
2015-09-16 07:17:09.360,4.02,-92.9268897169,12.6653773325,1.33946868951,0.332285776297,0.457126303592
2015-09-16 07:17:13.380,6.2,-91.3537050763,7.57209344616,1.17440742485,0.258806825869,0.63401465484
2015-09-16 07:17:19.580,3.94,-80.5709960339,13.0103436423,1.27003398739,0.357077960678,0.496387424331
2015-09-16 07:17:23.520,3.85,-92.6172301633,13.8609978426,1.26200555561,0.352795601379,0.495115279406
2015-09-16 07:17:27.370,4.11,-91.8592425068,14.6232161304,1.13553043591,0.421730595529,0.4478515625
2015-09-16 07:17:31.480,4.02,-97.7603866698,11.3161848038,1.16756021337,0.350838584223,0.4328125
2015-09-16 07:17:35.500,3.93,-93.2038810464,17.7078374067,1.1745324573,0.41130950352,0.382238631947
2015-09-16 07:17:39.430,3.94,-83.3440525072,20.2751953917,1.03204270473,0.353231433583,0.416698953894
2015-09-16 07:17:43.370,4.11,-81.0557607595,10.6689759479,1.34794212886,0.36455548715,0.36598534516
2015-09-16 07:17:47.480,4.1,-94.2701704871,15.5642219293,1.20078383131,0.313223551364,0.595151048682
2015-09-16 07:17:51.580,4.02,-89.70569227,14.8126372776,1.17732456969,0.338361532056,0.578420038536
2015-09-16 07:17:55.600,6.12,-92.4214805117,12.6880533996,1.23595305515,0.267690284803,0.71303672042
2015-09-16 07:18:01.720,3.94,-90.426171976,17.0575559265,1.13174485612,0.418988831263,0.440697902372
2015-09-16 07:18:05.660,4.02,-97.5705669763,12.6720044689,1.02583302585,0.330703671316,0.406823111812
2015-09-16 07:18:09.680,3.94,-86.5677038824,13.6862635535,1.16796190647,0.406593839703,0.402294303797
2015-09-16 07:18:13.620,4.1,-94.7548056934,13.2669875841,1.11409198526,0.377472141369,0.345367982543
2015-09-16 07:18:17.720,4.02,-89.1855569059,11.2146657572,1.201459425,0.334750918806,0.478122513922
2015-09-16 07:18:21.740,4.02,-92.0210831624,8.6950720689,1.15988255885,0.359767463487,0.294902429311
2015-09-16 07:18:25.760,3.94,-85.8810986265,18.1010919234,1.16772810328,0.3787151226,0.40043982407
2015-09-16 07:18:29.700,3.94,-96.3218520384,16.1742965988,1.24857701921,0.333092538543,0.505038291012
2015-09-16 07:18:33.640,3.85,-91.4375728665,14.354088955,1.22402431158,0.330122486921,0.397759674134
2015-09-16 07:18:37.490,5.87,-94.1365459825,9.37439334805,1.24187253945,0.277475318147,0.613641046775
2015-09-16 07:18:43.360,4.02,-86.7192157066,13.3719164759,1.34228855721,0.292135982195,0.415282392027
2015-09-16 07:18:47.380,4.02,-83.9494021346,18.669109565,0.984647679362,0.416522427745,0.349947862357
2015-09-16 07:18:51.400,3.94,-94.5857511964,7.6023459944,1.25069873694,0.292783071075,0.327974947808
2015-09-16 07:18:55.340,4.02,-94.4151394438,17.6567160554,0.989096782276,0.318798122473,0.464494569758
2015-09-16 07:18:59.360,4.02,-99.3265924534,13.6777568952,1.18362309758,0.357288041837,0.403556485356
2015-09-16 07:19:03.380,4.02,-98.1806353763,14.0342368744,0.915565587966,0.330570621468,0.320518178019
2015-09-16 07:19:07.400,4.02,-91.0503615547,9.45167022993,1.20019846857,0.305718187495,0.309037900875
2015-09-16 07:19:11.420,3.94,-94.7216260867,6.17506202113,1.21409182979,0.344096562518,0.255996691481
2015-09-16 07:19:15.360,4.02,-92.8728910555,12.6600208839,1.07087302506,0.379827919669,0.317995069844
