,_frac_optflow_ok,_frac_optflow_ok_ica,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:11:49.750,,,3093.39876442,1094.74254976,4.29,1.5
2015-09-16 07:11:53.600,,,3105.39280311,1098.98760031,4.29,1.5
2015-09-16 07:11:57.460,,,3067.21570346,1085.47757049,4.29,1.5
2015-09-16 07:12:01.390,,,2866.84860785,1014.56801519,4.29,1.5
2015-09-16 07:12:05.330,,,3016.58060226,1067.55837976,4.29,1.5
2015-09-16 07:12:09.350,,,2842.31383755,1005.88662357,4.29,1.5
2015-09-16 07:12:13.370,,,2707.16970323,958.059583068,4.29,1.5
2015-09-16 07:12:17.400,,,2795.76975468,989.414491329,4.29,1.5
2015-09-16 07:12:21.330,,,2781.21487562,984.262583953,4.29,1.5
2015-09-16 07:12:27.370,,,2886.91210657,1021.66768722,4.29,1.5
2015-09-16 07:12:31.390,,,2876.22923468,1017.88619342,4.29,1.5
2015-09-16 07:12:35.320,,,2718.05062092,961.90746139,4.29,1.5
2015-09-16 07:12:39.340,,,2652.36255064,938.661024581,4.29,1.5
2015-09-16 07:12:43.370,,,2879.81174124,1019.15507303,4.29,1.5
2015-09-16 07:12:47.390,,,2900.68094192,1026.54150063,4.29,1.5
2015-09-16 07:12:51.320,,,2949.91000114,1043.96365889,4.29,1.5
2015-09-16 07:12:55.350,,,3041.34960335,1076.32441648,4.29,1.5
2015-09-16 07:12:59.370,,,2939.10469251,1040.14005073,4.29,1.5
2015-09-16 07:13:03.390,,,2957.19545884,1046.54280547,4.29,1.5
2015-09-16 07:13:09.000,,,3138.67869682,1110.77083638,4.29,1.5
2015-09-16 07:13:12.860,,,2886.48026406,1021.5197632,4.29,1.5
2015-09-16 07:13:16.790,,,2746.6384752,972.030724689,4.29,1.5
2015-09-16 07:13:20.810,,,2835.59823649,1003.51409165,4.29,1.5
2015-09-16 07:13:24.670,,,2826.59524,1000.3287066,4.29,1.5
2015-09-16 07:13:28.610,,,2816.59420868,996.788941697,4.29,1.5
2015-09-16 07:13:32.460,,,2851.89278989,1009.28104537,4.29,1.5
2015-09-16 07:13:36.400,,,2705.07319683,957.32126295,4.29,1.5
2015-09-16 07:13:40.340,,,2700.40697347,955.670473776,4.29,1.5
2015-09-16 07:13:44.360,,,2709.0601386,958.731692111,4.29,1.5
2015-09-16 07:13:49.970,,,2742.92944838,970.717984009,4.29,1.5
2015-09-16 07:13:54.330,,,2761.5836341,977.320417384,4.29,1.5
2015-09-16 07:13:58.350,,,2777.42913255,982.928086171,4.29,1.5
2015-09-16 07:14:02.370,,,2717.19109494,961.609399296,4.29,1.5
2015-09-16 07:14:06.390,,,2726.99304826,965.078492339,4.29,1.5
2015-09-16 07:14:10.580,,,2541.12092691,899.297757864,4.29,1.5
2015-09-16 07:14:14.430,,,2571.59868096,910.083540007,4.29,1.5
2015-09-16 07:14:18.370,,,2537.31101082,897.948921104,4.29,1.5
2015-09-16 07:14:22.390,,,2288.30960872,809.828305104,4.29,1.5
2015-09-16 07:14:26.330,,,2296.62682143,812.772280984,4.29,1.5
2015-09-16 07:14:32.440,,,2234.47102667,790.77664782,4.29,1.5
2015-09-16 07:14:36.380,,,2220.98905659,786.005530261,4.29,1.5
2015-09-16 07:14:40.400,,,2080.34196478,736.230859882,4.29,1.5
2015-09-16 07:14:44.340,,,2153.01427144,761.951292194,4.29,1.5
2015-09-16 07:14:48.360,,,2161.01316655,764.782216991,4.29,1.5
2015-09-16 07:14:52.380,,,2145.74137961,759.377652974,4.29,1.5
2015-09-16 07:14:56.320,,,1925.13752506,681.307104945,4.29,1.5
2015-09-16 07:15:00.340,,,1839.42987949,650.975505807,4.29,1.5
2015-09-16 07:15:04.360,,,1826.17686408,646.285524289,4.29,1.5
2015-09-16 07:15:08.380,,,1928.18791604,682.387749294,4.29,1.5
2015-09-16 07:15:14.330,,,1901.32448821,672.881312954,4.29,1.5
2015-09-16 07:15:18.350,,,1953.14335724,691.21923873,4.29,1.5
2015-09-16 07:15:22.380,,,2098.43967021,742.639717453,4.29,1.5
2015-09-16 07:15:26.400,,,2078.21493566,735.481134416,4.29,1.5
2015-09-16 07:15:30.330,,,2221.93501655,786.343804507,4.29,1.5
2015-09-16 07:15:34.360,,,2372.3822898,839.586594021,4.29,1.5
2015-09-16 07:15:38.380,,,2431.19970838,860.400930477,4.29,1.5
2015-09-16 07:15:42.400,,,2632.24907359,931.551626989,4.29,1.5
2015-09-16 07:15:46.340,,,2657.82591601,940.602538711,4.29,1.5
2015-09-16 07:15:50.360,,,2722.26604495,963.407140772,4.29,1.5
2015-09-16 07:15:55.970,,,2970.78568092,1051.35714395,4.29,1.5
2015-09-16 07:15:59.740,,,2993.52074116,1059.40309418,4.29,1.5
2015-09-16 07:16:03.510,,,3060.14354796,1082.98143766,4.29,1.5
2015-09-16 07:16:07.450,,,2992.30915006,1058.97521025,4.29,1.5
2015-09-16 07:16:11.380,,,2945.65071933,1042.4630498,4.29,1.5
2015-09-16 07:16:15.410,,,2931.39988609,1037.41947291,4.29,1.5
2015-09-16 07:16:19.340,,,2822.44835536,998.861579673,4.29,1.5
2015-09-16 07:16:23.370,,,2890.21920945,1022.84572982,4.29,1.5
2015-09-16 07:16:27.390,,,2855.22418462,1010.46066459,4.29,1.5
2015-09-16 07:16:31.410,,,2747.16539906,972.218766784,4.29,1.5
2015-09-16 07:16:37.440,,,2739.22512023,969.406068044,4.29,1.5
2015-09-16 07:16:41.380,,,2827.05824762,1000.49050468,4.29,1.5
2015-09-16 07:16:45.400,,,3027.23596086,1071.33202152,4.29,1.5
2015-09-16 07:16:49.340,,,2859.37479063,1011.9252292,4.29,1.5
2015-09-16 07:16:53.360,,,3025.19553502,1070.60892397,4.29,1.5
2015-09-16 07:16:57.380,,,2980.91965353,1054.93927088,4.29,1.5
2015-09-16 07:17:01.400,,,3126.05155698,1106.30115424,4.29,1.5
2015-09-16 07:17:05.340,,,3033.52823057,1073.557135,4.29,1.5
2015-09-16 07:17:09.360,,,2871.89531598,1016.3548217,4.29,1.5
2015-09-16 07:17:13.380,,,3058.45109841,1082.37599477,4.29,1.5
2015-09-16 07:17:19.580,,,3043.1360692,1076.9554053,4.29,1.5
2015-09-16 07:17:23.520,,,2857.88010726,1011.39316297,4.29,1.5
2015-09-16 07:17:27.370,,,2979.50940157,1054.43815407,4.29,1.5
2015-09-16 07:17:31.480,,,3011.26000755,1065.67423167,4.29,1.5
2015-09-16 07:17:35.500,,,2937.923081,1039.72006537,4.29,1.5
2015-09-16 07:17:39.430,,,2907.88330826,1029.0886268,4.29,1.5
2015-09-16 07:17:43.370,,,2737.74441273,968.876989779,4.29,1.5
2015-09-16 07:17:47.480,,,2747.55498299,972.348758993,4.29,1.5
2015-09-16 07:17:51.580,,,2775.2417282,982.147312,4.29,1.5
2015-09-16 07:17:55.600,,,2560.76863095,906.245649091,4.29,1.5
2015-09-16 07:18:01.720,,,2599.24029744,919.861658825,4.29,1.5
2015-09-16 07:18:05.660,,,2700.9596591,955.860756622,4.29,1.5
2015-09-16 07:18:09.680,,,2667.63614595,944.068136482,4.29,1.5
2015-09-16 07:18:13.620,,,2719.41392884,962.392916802,4.29,1.5
2015-09-16 07:18:17.720,,,2456.33468698,869.290253977,4.29,1.5
2015-09-16 07:18:21.740,,,2355.11176395,833.467626425,4.29,1.5
2015-09-16 07:18:25.760,,,2204.2060204,780.062002102,4.29,1.5
2015-09-16 07:18:29.700,,,2210.3630063,782.241657769,4.29,1.5
2015-09-16 07:18:33.640,,,2130.18915463,753.868297809,4.29,1.5
2015-09-16 07:18:37.490,,,2108.23317495,746.098022682,4.29,1.5
2015-09-16 07:18:43.360,,,2161.2629044,764.866223961,4.29,1.5
2015-09-16 07:18:47.380,,,2111.59400993,747.289918808,4.29,1.5
2015-09-16 07:18:51.400,,,2081.18125571,736.527759738,4.29,1.5
2015-09-16 07:18:55.340,,,1976.49583442,699.479617636,4.29,1.5
2015-09-16 07:18:59.360,,,1908.54100968,675.431080968,4.29,1.5
2015-09-16 07:19:03.380,,,1936.40956917,685.294387976,4.29,1.5
2015-09-16 07:19:07.400,,,1862.13223114,659.008108831,4.29,1.5
2015-09-16 07:19:11.420,,,1818.74511422,643.653102414,4.29,1.5
2015-09-16 07:19:15.360,,,1904.60293786,674.038268658,4.29,1.5
2015-09-16 07:19:19.380,,,1917.25439805,678.515304581,4.29,1.5
2015-09-16 07:19:24.990,,,1682.12619466,595.302730623,4.29,1.5
2015-09-16 07:19:29.350,,,1896.81807736,671.282521005,4.29,1.5
2015-09-16 07:19:33.370,,,1972.95314132,698.226149724,4.29,1.5
