,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:06:42.370,12.4,-57.8663432536,11.8351319216,1.13468377821,0.145153989715,0.849535382416
2015-09-16 07:06:54.770,3.85,-89.3253911025,41.173402482,0.971227868811,0.293670350855,0.60790051207
2015-09-16 07:06:58.620,3.86,-57.1394047398,13.9266906645,0.8450089341,0.250522089746,0.545851528384
2015-09-16 07:07:02.480,3.85,-52.019397542,19.8256172379,0.789472963903,0.304042456986,0.330530164534
2015-09-16 07:07:06.330,4.02,-69.8872905604,22.6452343622,0.690327177,0.186743324076,0.511456023651
2015-09-16 07:07:10.350,4.02,-60.0839273309,20.5334344987,0.778682314934,0.188363577003,0.575896262395
2015-09-16 07:07:14.370,4.03,-53.931950639,10.8793351427,0.818713072216,0.200985368369,0.522753792299
2015-09-16 07:07:18.400,3.93,-52.3221709003,25.5352011463,0.781411372372,0.154780022061,0.839515814135
2015-09-16 07:07:22.330,4.02,-58.2338985932,22.3613445227,0.829278058674,0.191002580064,0.829787234043
2015-09-16 07:07:26.350,4.03,-55.1704929157,21.6773194488,0.970171107252,0.181942335134,0.897959183673
2015-09-16 07:07:30.380,5.94,-56.4718722487,13.0482743759,0.99142143622,0.202886263529,0.75462478185
2015-09-16 07:07:36.320,4.03,-60.4229149509,20.1667122017,0.943734450612,0.332553599668,0.640185369083
2015-09-16 07:07:40.350,4.02,-60.3872001786,15.4994912614,1.04915443344,0.301051080523,0.467757156338
2015-09-16 07:07:44.370,4.02,-43.5945022156,14.7812542587,0.91634449081,0.22492430993,0.567391304348
2015-09-16 07:07:48.390,3.94,-62.4702149591,14.7834483462,0.839998576847,0.268557471067,0.47311827957
2015-09-16 07:07:52.330,4.02,-55.296120394,27.0555116041,0.816134137301,0.231744000568,0.663719512195
2015-09-16 07:07:56.350,4.02,-48.8441689992,21.9788748709,0.831722798039,0.296540788157,0.676657584015
2015-09-16 07:08:00.370,4.02,-65.8771115088,11.2712300963,0.860789462702,0.292251774328,0.233152827918
2015-09-16 07:08:04.390,3.94,-53.029402906,16.9592799272,0.847193250801,0.228459974231,0.578504953467
2015-09-16 07:08:08.330,4.02,-65.997077092,16.1961719029,0.796706937439,0.238867719375,0.416235937975
2015-09-16 07:08:12.350,5.61,-61.903764825,16.2633664317,0.817264635083,0.191364143834,0.6958827199
2015-09-16 07:08:17.960,3.85,-57.1182631542,13.6399235693,0.838532509742,0.264187199729,0.524252491694
2015-09-16 07:08:21.810,3.94,-58.6701253687,23.0840820293,0.728291666447,0.194173552058,0.542454451702
