,_frac_optflow_ok,_frac_optflow_ok_ica,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:42.370,,,2628.89432795,412.234409877,4.42066209653,0.655027764749
2015-09-16 07:06:54.770,,,1526.83673862,1280.115018,3.12875801072,2.29781486188
2015-09-16 07:06:58.620,,,1222.27768726,762.440937859,2.30054616921,1.33740179983
2015-09-16 07:07:02.480,,,794.709621861,760.553598548,1.56243036209,1.31917453035
2015-09-16 07:07:06.330,,,888.031398057,678.048844803,1.56850548364,1.16667555817
2015-09-16 07:07:10.350,,,1092.49427018,585.462760127,2.00398623,1.05908850629
2015-09-16 07:07:14.370,,,1567.79770263,374.354443906,2.9140105354,0.684004747406
2015-09-16 07:07:18.400,,,1517.77141992,433.156725485,2.81734429676,0.795057483392
2015-09-16 07:07:22.330,,,1486.57900905,373.506461388,2.93976928164,0.715763488323
2015-09-16 07:07:26.350,,,1801.20725364,319.213459855,3.71737746609,0.632610157022
2015-09-16 07:07:30.380,,,1610.5962105,391.030165699,3.41500053093,0.806562162571
2015-09-16 07:07:36.320,,,1937.31577915,761.963519408,3.2822198887,1.27177400965
2015-09-16 07:07:40.350,,,2067.42225659,756.10374891,3.29957743183,1.21262020858
2015-09-16 07:07:44.370,,,2308.84814882,668.452077433,3.60033071521,1.07089478234
2015-09-16 07:07:48.390,,,1852.28804638,911.112074979,2.8729265581,1.39889483031
2015-09-16 07:07:52.330,,,1400.49447559,851.881570175,2.36601351626,1.30188889696
2015-09-16 07:07:56.350,,,1507.94247625,761.12541685,2.58564833087,1.23187228221
2015-09-16 07:08:00.370,,,1389.41134882,773.908155507,2.1862311064,1.20568248024
2015-09-16 07:08:04.390,,,1929.60991076,874.207184204,2.76836312663,1.34913538322
2015-09-16 07:08:08.330,,,1600.52678152,728.669232741,2.57351136698,1.14102876765
2015-09-16 07:08:12.350,,,1776.50153824,469.004419438,3.05328464557,0.765930562147
2015-09-16 07:08:17.960,,,1272.63503125,697.994652767,2.32485880776,1.28432122506
2015-09-16 07:08:21.810,,,1022.30053243,566.446428698,1.92036223673,1.06190063245
2015-09-16 07:08:25.750,,,1299.2060656,750.747339385,2.26328305782,1.3826527989
2015-09-16 07:08:29.610,,,1082.96085211,447.280751851,2.00983256198,0.81185181584
2015-09-16 07:08:33.540,,,1062.42500183,533.396261439,2.08690098013,1.00423327122
