,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:42.370,2361.0217667,1227.1260486,4.08772510197,1.66331548703
2015-09-16 07:06:54.770,3077.89560534,1100.85619865,4.63454405888,0.7006857723
2015-09-16 07:06:58.620,2409.2532929,1089.41748552,3.87738099676,1.23303735113
2015-09-16 07:07:02.480,2699.59034269,957.205296037,4.23750705975,0.553163274598
2015-09-16 07:07:06.330,2805.72108125,968.929581385,4.27026615268,0.613706939052
2015-09-16 07:07:10.350,2447.64347154,1159.94576988,3.83653839096,1.37094290323
2015-09-16 07:07:14.370,2765.41981745,951.721199869,4.24833627555,0.589188437334
2015-09-16 07:07:18.400,2574.11861922,1359.7879072,3.68891913494,1.5713097189
2015-09-16 07:07:22.330,2615.59279294,1432.01752621,3.66922096384,1.64790443853
2015-09-16 07:07:26.350,3138.12421159,1011.11502373,4.3894689784,0.188460457425
2015-09-16 07:07:30.380,2696.44592035,932.849880412,3.87422766283,0.467678760356
2015-09-16 07:07:36.320,2876.03063535,1045.08146019,4.28773213842,0.610563774401
2015-09-16 07:07:40.350,2595.24760004,955.315538449,4.15556124836,0.562213779809
2015-09-16 07:07:44.370,2677.82072058,983.51026294,4.19548581454,0.571968584129
2015-09-16 07:07:48.390,2390.88757318,1113.76524098,3.79757361738,1.20284511443
2015-09-16 07:07:52.330,2708.22449999,972.21116431,4.22491231666,0.580733738836
2015-09-16 07:07:56.350,2477.04853615,943.371538813,4.30172618748,0.614045122796
2015-09-16 07:08:00.370,2287.14614757,1316.37256864,3.67180658315,1.65641653957
2015-09-16 07:08:04.390,2381.07697206,1356.54716387,3.75451980837,1.69588623534
2015-09-16 07:08:08.330,2463.42864696,1136.3726689,3.7325547312,1.21005738422
2015-09-16 07:08:12.350,2755.29003008,970.954252107,3.92705820227,0.456780333572
2015-09-16 07:08:17.960,2647.6841997,1522.40446183,3.88637245155,1.84664073824
2015-09-16 07:08:21.810,2683.10438283,1223.87355216,3.79987895759,1.20101228924
2015-09-16 07:08:25.750,2350.93911966,1798.24758423,3.2633077013,2.24702716407
2015-09-16 07:08:29.610,2374.76646659,2101.22591415,3.18599432104,2.61475236772
2015-09-16 07:08:33.540,2789.830828,1553.63399664,3.73649840911,1.65674119031
2015-09-16 07:08:37.480,2583.61960565,1224.70287663,3.8246224356,1.13341773556
2015-09-16 07:08:41.330,2591.3993801,1268.03541755,3.7444883281,1.19708916859
2015-09-16 07:08:45.360,2571.67867985,1213.14249447,3.6615308822,1.10981219898
2015-09-16 07:08:49.380,2093.92213524,1846.11826165,3.25110383548,2.54830263035
2015-09-16 07:08:53.310,2263.60727625,939.170216697,3.57643015316,0.153474636325
2015-09-16 07:08:59.350,2065.65001636,1331.11916338,3.6978096879,1.66852717186
2015-09-16 07:09:03.370,2083.95894027,1086.60206382,3.68584245071,1.12465925189
2015-09-16 07:09:07.390,1950.88967597,1614.28817653,3.21779677531,2.33666954842
2015-09-16 07:09:11.330,2213.70896168,1107.88411132,3.71268627038,1.13185528945
2015-09-16 07:09:15.350,2126.64883187,1150.8511706,3.78185784535,1.24442089097
2015-09-16 07:09:19.370,2056.92896768,1036.62615524,3.59795210683,0.987756655206
2015-09-16 07:09:23.390,2002.36871076,1245.46593402,3.74056546108,1.66535926787
2015-09-16 07:09:27.330,2054.88171463,1075.81267488,3.65838309421,1.08019120503
2015-09-16 07:09:31.350,1698.59548009,1359.37377638,3.12985017802,2.12474769197
2015-09-16 07:09:35.370,2047.14840071,832.540216277,3.70155954583,0.158905177724
2015-09-16 07:09:40.980,1879.78304426,1544.86133123,3.20433622311,2.33251986513
2015-09-16 07:09:44.920,1944.10663022,1603.8459347,3.30342425364,2.42951149978
2015-09-16 07:09:48.770,1845.82863876,1447.15054396,3.25696679438,2.22718334715
2015-09-16 07:09:52.630,2021.77420755,1636.00779254,3.27801487204,2.33518993626
2015-09-16 07:09:56.480,1987.4870902,1566.85039429,3.26372055828,2.26121075072
2015-09-16 07:10:00.340,2368.64658514,1391.84571234,3.72458423716,1.72276202171
2015-09-16 07:10:04.360,1884.70077141,1551.34689583,3.15291835508,2.32110888985
2015-09-16 07:10:08.380,1957.28381451,1634.42181827,3.16144300117,2.37610556034
2015-09-16 07:10:12.400,1925.27273552,1545.43315447,3.19930577318,2.2825930595
2015-09-16 07:10:16.340,1963.64489164,774.498456205,3.37841691254,0.464422036686
2015-09-16 07:10:22.540,2378.76917595,1180.74176586,3.87690739881,1.21098250362
2015-09-16 07:10:26.390,2069.37341641,1234.90773601,3.73181143607,1.66454836245
2015-09-16 07:10:30.330,2112.7222362,1262.40861072,3.63958291862,1.62716086005
2015-09-16 07:10:34.350,2073.26421415,1077.57269144,3.74003343093,1.22577412472
2015-09-16 07:10:38.370,1876.8364019,1138.15648044,3.65892487608,1.64925137492
2015-09-16 07:10:42.390,1853.02351045,925.580232,3.76372676418,1.15597339212
2015-09-16 07:10:46.330,1863.29119021,1101.5729106,3.68188120283,1.67270148456
2015-09-16 07:10:50.350,1670.4541553,1438.10723929,3.14626006095,2.40761753604
2015-09-16 07:10:54.370,2020.89451596,1048.46794259,3.78509174502,1.274819623
2015-09-16 07:10:58.390,2239.08215446,1068.81072302,4.13397754946,1.00840233932
2015-09-16 07:11:04.340,2198.98583123,845.679967999,4.41958481505,0.189753118919
2015-09-16 07:11:08.370,1807.26911013,1543.93643216,3.15633135683,2.40516714546
2015-09-16 07:11:12.380,2178.71945625,1376.37605588,3.77701307801,1.85672084513
2015-09-16 07:11:16.410,2354.56249756,1229.96864878,3.89796671059,1.33705812243
2015-09-16 07:11:20.340,2074.94341225,1025.03103023,3.80008828241,1.27332744789
2015-09-16 07:11:24.360,2107.40356288,1232.89670271,3.69395429622,1.73197836392
2015-09-16 07:11:28.390,2185.59662945,819.174936033,4.22984344371,0.581089919367
2015-09-16 07:11:32.410,2513.25236004,904.488016765,4.3049786969,0.184697498383
2015-09-16 07:11:36.350,2286.45050322,1332.13695952,3.69739013646,1.71656565707
2015-09-16 07:11:40.370,2581.13022101,1085.34569024,4.14593605365,0.955418990823
2015-09-16 07:11:45.900,2951.21521514,1159.98621263,4.53343547966,0.650435301671
2015-09-16 07:11:49.750,2391.45991191,1121.4222404,3.80733430485,1.13110814022
2015-09-16 07:11:53.600,2581.12992334,1201.12506853,3.82182073537,1.15057444955
2015-09-16 07:11:57.460,,,,
2015-09-16 07:12:01.390,2526.58084245,1976.62155485,3.20619294839,2.25307946802
2015-09-16 07:12:05.330,3344.10597315,1574.03377118,3.82696528608,1.29695976805
2015-09-16 07:12:09.350,2715.31242898,2243.72132689,3.16625438755,2.40504487325
2015-09-16 07:12:13.370,3097.33818907,1424.35919387,3.69235108257,1.12431657073
2015-09-16 07:12:17.400,3775.22716284,1245.9063285,4.40803161408,0.189128488525
2015-09-16 07:12:21.330,3336.41493735,1183.08141107,3.86093914277,0.468481609275
2015-09-16 07:12:27.370,3660.8350574,1332.05390373,4.2631464103,0.587795909766
2015-09-16 07:12:31.390,2766.17095953,2127.5921689,3.21807686492,2.23050782
2015-09-16 07:12:35.320,2657.8281178,2222.63422858,3.1591051663,2.41716765584
2015-09-16 07:12:39.340,3059.90501213,1455.38432242,3.78496328226,1.24059809286
2015-09-16 07:12:43.370,3121.36905675,1476.49501437,3.77359896373,1.22859151889
2015-09-16 07:12:47.390,2452.06512123,2154.75475698,3.19195216239,2.56471372965
2015-09-16 07:12:51.320,2753.68846312,1261.33715027,3.65261087211,1.07668563308
2015-09-16 07:12:55.350,2954.71335298,1407.69695245,3.79917045267,1.26159028074
2015-09-16 07:12:59.370,2821.34833394,1276.16255285,3.64394332359,1.04519333883
2015-09-16 07:13:03.390,2880.47890848,1022.23983346,3.59272292865,0.15418006287
2015-09-16 07:13:09.000,3147.28747426,1430.016402,3.84377006979,1.1499834864
2015-09-16 07:13:12.860,2985.56870034,1393.80657925,3.77658855233,1.12780817591
2015-09-16 07:13:16.790,2932.03020825,1653.3357575,3.65552043528,1.58611478553
2015-09-16 07:13:20.810,2695.99801886,2296.65411419,3.30452856051,2.56262425712
2015-09-16 07:13:24.670,2655.04333256,2050.45441896,3.19770088763,2.19699295436
2015-09-16 07:13:28.610,3354.2995604,1535.2826386,3.87262228023,1.1812329006
2015-09-16 07:13:32.460,3206.13426185,1745.40726471,3.6785541964,1.55776434485
2015-09-16 07:13:36.400,3106.93958065,1481.57758304,3.79684315464,1.18337342965
2015-09-16 07:13:40.340,3162.59079857,1485.08085809,3.73955224862,1.17327914928
2015-09-16 07:13:44.360,3468.3113072,1281.39005536,4.11796920826,0.495942497971
2015-09-16 07:13:49.970,3387.74097063,1295.58803142,4.08287349361,0.601568273012
2015-09-16 07:13:54.330,3344.67692206,1318.30014358,4.31709039795,0.613126819791
2015-09-16 07:13:58.350,3236.17142876,1232.16433624,4.13753184448,0.539917621113
2015-09-16 07:14:02.370,3232.37628495,1187.07646385,4.31547513406,0.185228688515
2015-09-16 07:14:06.390,2939.88264079,1465.15240751,3.76332599337,1.36519875909
2015-09-16 07:14:10.580,2845.533506,1617.64904508,3.82786741506,1.69312516209
2015-09-16 07:14:14.430,2862.60084971,1348.13311251,3.78820914774,1.19493148333
2015-09-16 07:14:18.370,3202.35801079,1213.66032914,4.28910457502,0.600771479431
2015-09-16 07:14:22.390,3100.92822696,1223.43585482,4.3347471438,0.604025431364
2015-09-16 07:14:26.330,2788.87735327,1065.84136169,3.80585470589,0.464029934878
2015-09-16 07:14:32.440,3218.9728582,1225.01307406,4.29673294635,0.595809475578
2015-09-16 07:14:36.380,3162.65660354,1229.02442428,4.34043897716,0.627326410346
2015-09-16 07:14:40.400,3074.33307307,1189.63168007,4.24907804182,0.566712299783
2015-09-16 07:14:44.340,3046.2547135,1213.26376552,4.30908734851,0.617125428425
2015-09-16 07:14:48.360,2903.11622741,1119.79988134,4.32263912791,0.185562306523
2015-09-16 07:14:52.380,2889.37703483,1187.16406924,4.32462335131,0.594479000796
2015-09-16 07:14:56.320,2787.88317976,1180.77443758,4.33438772736,0.627157663659
2015-09-16 07:15:00.340,2420.05448661,1460.1247711,3.69405521892,1.68537629396
2015-09-16 07:15:04.360,2713.66626252,1152.05095354,4.18493982201,0.561667782779
2015-09-16 07:15:08.380,2780.83373128,1279.34034133,4.43007462213,0.943977421481
