,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:12:01.390,3262.45015697,1297.68220192,4.14,0.828
2015-09-16 07:12:05.330,3617.64418904,1385.58446395,4.14,0.828
2015-09-16 07:12:09.350,3550.37595848,1355.83167673,4.14,0.828
2015-09-16 07:12:13.370,3472.8496332,1383.73251485,4.14,0.828
2015-09-16 07:12:17.400,3545.67340312,1359.77083214,4.14,0.828
2015-09-16 07:12:21.330,3577.56424793,1390.26768108,4.14,0.828
2015-09-16 07:12:27.370,3555.08717717,1392.34251678,4.14,0.828
2015-09-16 07:12:31.390,3558.63090074,1383.6358837,4.14,0.828
2015-09-16 07:12:35.320,3483.07758953,1366.35259617,4.14,0.828
2015-09-16 07:12:39.340,3346.92989218,1333.70483507,4.14,0.828
2015-09-16 07:12:43.370,3424.44123479,1360.13731045,4.14,0.828
2015-09-16 07:12:47.390,3180.35768878,1298.12017521,4.14,0.828
2015-09-16 07:12:51.320,3121.129142,1259.80360895,4.14,0.828
2015-09-16 07:12:55.350,3219.78532781,1274.60223796,4.14,0.828
2015-09-16 07:12:59.370,3205.4236483,1291.45183078,4.14,0.828
2015-09-16 07:13:03.390,3319.26032648,1344.61578384,4.14,0.828
2015-09-16 07:13:09.000,3389.84119936,1342.89895408,4.14,0.828
2015-09-16 07:13:12.860,3272.86233281,1344.53009269,4.14,0.828
2015-09-16 07:13:16.790,3320.62295289,1367.93465235,4.14,0.828
2015-09-16 07:13:20.810,3377.61698641,1369.11835789,4.14,0.828
2015-09-16 07:13:24.670,3437.43201226,1393.68050001,4.14,0.828
2015-09-16 07:13:28.610,3585.89068987,1418.38444668,4.14,0.828
2015-09-16 07:13:32.460,3608.31868592,1429.90864452,4.14,0.828
2015-09-16 07:13:36.400,3387.74327514,1397.85422256,4.14,0.828
2015-09-16 07:13:40.340,3501.25497269,1409.50920995,4.14,0.828
2015-09-16 07:13:44.360,3486.86648337,1403.40981748,4.14,0.828
2015-09-16 07:13:49.970,3435.14136315,1393.44431296,4.14,0.828
2015-09-16 07:13:54.330,3207.47567943,1342.48328293,4.14,0.828
2015-09-16 07:13:58.350,3238.10189713,1326.99119777,4.14,0.828
2015-09-16 07:14:02.370,3100.94193663,1289.88431248,4.14,0.828
2015-09-16 07:14:06.390,3234.13760974,1280.55541812,4.14,0.828
2015-09-16 07:14:10.580,3077.56446017,1259.67736659,4.14,0.828
2015-09-16 07:14:14.430,3128.4353782,1260.30582626,4.14,0.828
2015-09-16 07:14:18.370,3091.03262296,1251.82516567,4.14,0.828
2015-09-16 07:14:22.390,2961.61285393,1243.3260139,4.14,0.828
2015-09-16 07:14:26.330,3033.73437369,1255.22032228,4.14,0.828
2015-09-16 07:14:32.440,3101.5536221,1262.137652,4.14,0.828
2015-09-16 07:14:36.380,3016.60693943,1244.23537355,4.14,0.828
2015-09-16 07:14:40.400,2995.41189812,1242.09073096,4.14,0.828
2015-09-16 07:14:44.340,2926.72055447,1235.18990523,4.14,0.828
2015-09-16 07:14:48.360,2780.45444596,1202.17195516,4.14,0.828
2015-09-16 07:14:52.380,2766.02606805,1205.42728491,4.14,0.828
2015-09-16 07:14:56.320,2662.85276957,1186.23504184,4.14,0.828
2015-09-16 07:15:00.340,2712.202439,1200.34064875,4.14,0.828
